"Tissue","Quantile","Signature","Scale","Value"
"CHOL","45%","SBS2","genome",3.9
"CHOL","50%","SBS2","genome",4.14
"CHOL","55%","SBS2","genome",4.76
"CHOL","60%","SBS2","genome",5.50000000000001
"CHOL","65%","SBS2","genome",7.1
"CHOL","70%","SBS2","genome",8.94
"CHOL","75%","SBS2","genome",10.02
"CHOL","80%","SBS2","genome",10.94
"CHOL","85%","SBS2","genome",15.74
"CHOL","90%","SBS2","genome",23.82
"CHOL","95%","SBS2","genome",25.92
"CHOL","5%","SBS2","exome",0.207
"CHOL","10%","SBS2","exome",0.26
"CHOL","15%","SBS2","exome",0.28
"CHOL","20%","SBS2","exome",0.34
"CHOL","25%","SBS2","exome",0.38
"CHOL","30%","SBS2","exome",0.4
"CHOL","35%","SBS2","exome",0.438
"CHOL","40%","SBS2","exome",0.496
"CHOL","45%","SBS2","exome",0.543
"CHOL","50%","SBS2","exome",0.65
"CHOL","55%","SBS2","exome",0.794
"CHOL","60%","SBS2","exome",0.82
"CHOL","65%","SBS2","exome",0.984000000000001
"CHOL","70%","SBS2","exome",1.074
"CHOL","75%","SBS2","exome",1.165
"CHOL","80%","SBS2","exome",1.308
"CHOL","85%","SBS2","exome",1.76
"CHOL","90%","SBS2","exome",2.152
"CHOL","95%","SBS2","exome",2.825
"CHOL","5%","SBS3","genome",94.82
"CHOL","10%","SBS3","genome",94.82
"CHOL","15%","SBS3","genome",94.82
"CHOL","20%","SBS3","genome",94.82
"CHOL","25%","SBS3","genome",94.82
"CHOL","30%","SBS3","genome",94.82
"CHOL","35%","SBS3","genome",94.82
"CHOL","40%","SBS3","genome",94.82
"CHOL","45%","SBS3","genome",94.82
"CHOL","50%","SBS3","genome",94.82
"CHOL","55%","SBS3","genome",94.82
"CHOL","60%","SBS3","genome",94.82
"CHOL","65%","SBS3","genome",94.82
"CHOL","70%","SBS3","genome",94.82
"CHOL","75%","SBS3","genome",94.82
"CHOL","80%","SBS3","genome",94.82
"CHOL","85%","SBS3","genome",94.82
"CHOL","90%","SBS3","genome",94.82
"CHOL","95%","SBS3","genome",94.82
"CHOL","5%","SBS3","exome",3.28
"CHOL","10%","SBS3","exome",3.28
"CHOL","15%","SBS3","exome",3.28
"CHOL","20%","SBS3","exome",3.28
"CHOL","25%","SBS3","exome",3.28
"CHOL","30%","SBS3","exome",3.28
"CHOL","35%","SBS3","exome",3.28
"CHOL","40%","SBS3","exome",3.28
"CHOL","45%","SBS3","exome",3.28
"CHOL","50%","SBS3","exome",3.28
"CHOL","55%","SBS3","exome",3.28
"CHOL","60%","SBS3","exome",3.28
"CHOL","65%","SBS3","exome",3.28
"CHOL","70%","SBS3","exome",3.28
"CHOL","75%","SBS3","exome",3.28
"CHOL","80%","SBS3","exome",3.28
"CHOL","85%","SBS3","exome",3.28
"CHOL","90%","SBS3","exome",3.28
"CHOL","95%","SBS3","exome",3.28
"CHOL","5%","SBS4","genome",NA
"CHOL","10%","SBS4","genome",NA
"CHOL","15%","SBS4","genome",NA
"CHOL","20%","SBS4","genome",NA
"CHOL","25%","SBS4","genome",NA
"CHOL","30%","SBS4","genome",NA
"CHOL","35%","SBS4","genome",NA
"CHOL","40%","SBS4","genome",NA
"CHOL","45%","SBS4","genome",NA
"CHOL","50%","SBS4","genome",NA
"CHOL","55%","SBS4","genome",NA
"CHOL","60%","SBS4","genome",NA
"CHOL","65%","SBS4","genome",NA
"CHOL","70%","SBS4","genome",NA
"CHOL","75%","SBS4","genome",NA
"CHOL","80%","SBS4","genome",NA
"CHOL","85%","SBS4","genome",NA
"CHOL","90%","SBS4","genome",NA
"CHOL","95%","SBS4","genome",NA
"CHOL","5%","SBS4","exome",2.675
"CHOL","10%","SBS4","exome",2.73
"CHOL","15%","SBS4","exome",2.785
"CHOL","20%","SBS4","exome",2.84
"CHOL","25%","SBS4","exome",2.895
"CHOL","30%","SBS4","exome",2.95
"CHOL","35%","SBS4","exome",3.005
"CHOL","40%","SBS4","exome",3.06
"CHOL","45%","SBS4","exome",3.115
"CHOL","50%","SBS4","exome",3.17
"CHOL","55%","SBS4","exome",3.225
"CHOL","60%","SBS4","exome",3.28
"CHOL","65%","SBS4","exome",3.335
"CHOL","70%","SBS4","exome",3.39
"CHOL","75%","SBS4","exome",3.445
"CHOL","80%","SBS4","exome",3.5
"CHOL","85%","SBS4","exome",3.555
"CHOL","90%","SBS4","exome",3.61
"CHOL","95%","SBS4","exome",3.665
"CHOL","5%","SBS5","genome",7.064
"CHOL","10%","SBS5","genome",9.16
"CHOL","15%","SBS5","genome",10.432
"CHOL","20%","SBS5","genome",12.684
"CHOL","25%","SBS5","genome",14.34
"CHOL","30%","SBS5","genome",15.408
"CHOL","35%","SBS5","genome",16.208
"CHOL","40%","SBS5","genome",19.312
"CHOL","45%","SBS5","genome",20.064
"CHOL","50%","SBS5","genome",22.22
"CHOL","55%","SBS5","genome",23.808
"CHOL","60%","SBS5","genome",27.636
"CHOL","65%","SBS5","genome",30.4
"CHOL","70%","SBS5","genome",36.856
"CHOL","75%","SBS5","genome",39.0200000000001
"CHOL","80%","SBS5","genome",49.004
"CHOL","85%","SBS5","genome",56.756
"CHOL","90%","SBS5","genome",72.912
"CHOL","95%","SBS5","genome",106.324
"CHOL","5%","SBS5","exome",0.608
"CHOL","10%","SBS5","exome",0.816
"CHOL","15%","SBS5","exome",0.978
"CHOL","20%","SBS5","exome",1.268
"CHOL","25%","SBS5","exome",1.4
"CHOL","30%","SBS5","exome",1.536
"CHOL","35%","SBS5","exome",1.606
"CHOL","40%","SBS5","exome",1.924
"CHOL","45%","SBS5","exome",2.068
"CHOL","50%","SBS5","exome",2.2
"CHOL","55%","SBS5","exome",2.292
"CHOL","60%","SBS5","exome",2.5
"CHOL","65%","SBS5","exome",2.77
"CHOL","70%","SBS5","exome",3.16
"CHOL","75%","SBS5","exome",3.65
"CHOL","80%","SBS5","exome",4.66
"CHOL","85%","SBS5","exome",7.384
"CHOL","90%","SBS5","exome",9.56400000000001
"CHOL","95%","SBS5","exome",19.318
"CHOL","5%","SBS6","genome",NA
"CHOL","10%","SBS6","genome",NA
"CHOL","15%","SBS6","genome",NA
"CHOL","20%","SBS6","genome",NA
"CHOL","25%","SBS6","genome",NA
"CHOL","30%","SBS6","genome",NA
"CHOL","35%","SBS6","genome",NA
"CHOL","40%","SBS6","genome",NA
"CHOL","45%","SBS6","genome",NA
"CHOL","50%","SBS6","genome",NA
"CHOL","55%","SBS6","genome",NA
"CHOL","60%","SBS6","genome",NA
"CHOL","65%","SBS6","genome",NA
"CHOL","70%","SBS6","genome",NA
"CHOL","75%","SBS6","genome",NA
"CHOL","80%","SBS6","genome",NA
"CHOL","85%","SBS6","genome",NA
"CHOL","90%","SBS6","genome",NA
"CHOL","95%","SBS6","genome",NA
"CHOL","5%","SBS6","exome",NA
"CHOL","10%","SBS6","exome",NA
"CHOL","15%","SBS6","exome",NA
"CHOL","20%","SBS6","exome",NA
"CHOL","25%","SBS6","exome",NA
"CHOL","30%","SBS6","exome",NA
"CHOL","35%","SBS6","exome",NA
"CHOL","40%","SBS6","exome",NA
"CHOL","45%","SBS6","exome",NA
"CHOL","50%","SBS6","exome",NA
"CHOL","55%","SBS6","exome",NA
"CHOL","60%","SBS6","exome",NA
"CHOL","65%","SBS6","exome",NA
"CHOL","70%","SBS6","exome",NA
"CHOL","75%","SBS6","exome",NA
"CHOL","80%","SBS6","exome",NA
"CHOL","85%","SBS6","exome",NA
"CHOL","90%","SBS6","exome",NA
"CHOL","95%","SBS6","exome",NA
"CHOL","5%","SBS7a","genome",NA
"CHOL","10%","SBS7a","genome",NA
"CHOL","15%","SBS7a","genome",NA
"CHOL","20%","SBS7a","genome",NA
"CHOL","25%","SBS7a","genome",NA
"CHOL","30%","SBS7a","genome",NA
"CHOL","35%","SBS7a","genome",NA
"CHOL","40%","SBS7a","genome",NA
"CHOL","45%","SBS7a","genome",NA
"CHOL","50%","SBS7a","genome",NA
"CHOL","55%","SBS7a","genome",NA
"CHOL","60%","SBS7a","genome",NA
"CHOL","65%","SBS7a","genome",NA
"CHOL","70%","SBS7a","genome",NA
"CHOL","75%","SBS7a","genome",NA
"CHOL","80%","SBS7a","genome",NA
"CHOL","85%","SBS7a","genome",NA
"CHOL","90%","SBS7a","genome",NA
"CHOL","95%","SBS7a","genome",NA
"CHOL","5%","SBS7a","exome",NA
"CHOL","10%","SBS7a","exome",NA
"CHOL","15%","SBS7a","exome",NA
"CHOL","20%","SBS7a","exome",NA
"CHOL","25%","SBS7a","exome",NA
"CHOL","30%","SBS7a","exome",NA
"CHOL","35%","SBS7a","exome",NA
"CHOL","40%","SBS7a","exome",NA
"CHOL","45%","SBS7a","exome",NA
"CHOL","50%","SBS7a","exome",NA
"CHOL","55%","SBS7a","exome",NA
"CHOL","60%","SBS7a","exome",NA
"CHOL","65%","SBS7a","exome",NA
"CHOL","70%","SBS7a","exome",NA
"CHOL","75%","SBS7a","exome",NA
"CHOL","80%","SBS7a","exome",NA
"CHOL","85%","SBS7a","exome",NA
"CHOL","90%","SBS7a","exome",NA
"CHOL","95%","SBS7a","exome",NA
"CHOL","5%","SBS7b","genome",NA
"CHOL","10%","SBS7b","genome",NA
"CHOL","15%","SBS7b","genome",NA
"CHOL","20%","SBS7b","genome",NA
"CHOL","25%","SBS7b","genome",NA
"CHOL","30%","SBS7b","genome",NA
"CHOL","35%","SBS7b","genome",NA
"CHOL","40%","SBS7b","genome",NA
"CHOL","45%","SBS7b","genome",NA
"CHOL","50%","SBS7b","genome",NA
"CHOL","55%","SBS7b","genome",NA
"CHOL","60%","SBS7b","genome",NA
"CHOL","65%","SBS7b","genome",NA
"CHOL","70%","SBS7b","genome",NA
"CHOL","75%","SBS7b","genome",NA
"CHOL","80%","SBS7b","genome",NA
"CHOL","85%","SBS7b","genome",NA
"CHOL","90%","SBS7b","genome",NA
"CHOL","95%","SBS7b","genome",NA
"CHOL","5%","SBS7b","exome",NA
"CHOL","10%","SBS7b","exome",NA
"CHOL","15%","SBS7b","exome",NA
"CHOL","20%","SBS7b","exome",NA
"CHOL","25%","SBS7b","exome",NA
"CHOL","30%","SBS7b","exome",NA
"CHOL","35%","SBS7b","exome",NA
"CHOL","40%","SBS7b","exome",NA
"CHOL","45%","SBS7b","exome",NA
"CHOL","50%","SBS7b","exome",NA
"CHOL","55%","SBS7b","exome",NA
"CHOL","60%","SBS7b","exome",NA
"CHOL","65%","SBS7b","exome",NA
"CHOL","70%","SBS7b","exome",NA
"CHOL","75%","SBS7b","exome",NA
"CHOL","80%","SBS7b","exome",NA
"CHOL","85%","SBS7b","exome",NA
"CHOL","90%","SBS7b","exome",NA
"CHOL","95%","SBS7b","exome",NA
"CHOL","5%","SBS7c","genome",NA
"CHOL","10%","SBS7c","genome",NA
"CHOL","15%","SBS7c","genome",NA
"CHOL","20%","SBS7c","genome",NA
"CHOL","25%","SBS7c","genome",NA
"CHOL","30%","SBS7c","genome",NA
"CHOL","35%","SBS7c","genome",NA
"CHOL","40%","SBS7c","genome",NA
"CHOL","45%","SBS7c","genome",NA
"CHOL","50%","SBS7c","genome",NA
"CHOL","55%","SBS7c","genome",NA
"CHOL","60%","SBS7c","genome",NA
"CHOL","65%","SBS7c","genome",NA
"CHOL","70%","SBS7c","genome",NA
"CHOL","75%","SBS7c","genome",NA
"CHOL","80%","SBS7c","genome",NA
"CHOL","85%","SBS7c","genome",NA
"CHOL","90%","SBS7c","genome",NA
"CHOL","95%","SBS7c","genome",NA
"CHOL","5%","SBS7c","exome",NA
"CHOL","10%","SBS7c","exome",NA
"CHOL","15%","SBS7c","exome",NA
"CHOL","20%","SBS7c","exome",NA
"CHOL","25%","SBS7c","exome",NA
"CHOL","30%","SBS7c","exome",NA
"CHOL","35%","SBS7c","exome",NA
"CHOL","40%","SBS7c","exome",NA
"CHOL","45%","SBS7c","exome",NA
"CHOL","50%","SBS7c","exome",NA
"CHOL","55%","SBS7c","exome",NA
"CHOL","60%","SBS7c","exome",NA
"CHOL","65%","SBS7c","exome",NA
"CHOL","70%","SBS7c","exome",NA
"CHOL","75%","SBS7c","exome",NA
"CHOL","80%","SBS7c","exome",NA
"CHOL","85%","SBS7c","exome",NA
"CHOL","90%","SBS7c","exome",NA
"CHOL","95%","SBS7c","exome",NA
"CHOL","5%","SBS7d","genome",NA
"CHOL","10%","SBS7d","genome",NA
"CHOL","15%","SBS7d","genome",NA
"CHOL","20%","SBS7d","genome",NA
"CHOL","25%","SBS7d","genome",NA
"CHOL","30%","SBS7d","genome",NA
"CHOL","35%","SBS7d","genome",NA
"CHOL","40%","SBS7d","genome",NA
"CHOL","45%","SBS7d","genome",NA
"CHOL","50%","SBS7d","genome",NA
"CHOL","55%","SBS7d","genome",NA
"CHOL","60%","SBS7d","genome",NA
"CHOL","65%","SBS7d","genome",NA
"CHOL","70%","SBS7d","genome",NA
"CHOL","75%","SBS7d","genome",NA
"CHOL","80%","SBS7d","genome",NA
"CHOL","85%","SBS7d","genome",NA
"CHOL","90%","SBS7d","genome",NA
"CHOL","95%","SBS7d","genome",NA
"CHOL","5%","SBS7d","exome",NA
"CHOL","10%","SBS7d","exome",NA
"CHOL","15%","SBS7d","exome",NA
"CHOL","20%","SBS7d","exome",NA
"CHOL","25%","SBS7d","exome",NA
"CHOL","30%","SBS7d","exome",NA
"CHOL","35%","SBS7d","exome",NA
"CHOL","40%","SBS7d","exome",NA
"CHOL","45%","SBS7d","exome",NA
"CHOL","50%","SBS7d","exome",NA
"CHOL","55%","SBS7d","exome",NA
"CHOL","60%","SBS7d","exome",NA
"CHOL","65%","SBS7d","exome",NA
"CHOL","70%","SBS7d","exome",NA
"CHOL","75%","SBS7d","exome",NA
"CHOL","80%","SBS7d","exome",NA
"CHOL","85%","SBS7d","exome",NA
"CHOL","90%","SBS7d","exome",NA
"CHOL","95%","SBS7d","exome",NA
"CHOL","5%","SBS8","genome",NA
"CHOL","10%","SBS8","genome",NA
"CHOL","15%","SBS8","genome",NA
"CHOL","20%","SBS8","genome",NA
"CHOL","25%","SBS8","genome",NA
"CHOL","30%","SBS8","genome",NA
"CHOL","35%","SBS8","genome",NA
"CHOL","40%","SBS8","genome",NA
"CHOL","45%","SBS8","genome",NA
"CHOL","50%","SBS8","genome",NA
"CHOL","55%","SBS8","genome",NA
"CHOL","60%","SBS8","genome",NA
"CHOL","65%","SBS8","genome",NA
"CHOL","70%","SBS8","genome",NA
"CHOL","75%","SBS8","genome",NA
"CHOL","80%","SBS8","genome",NA
"CHOL","85%","SBS8","genome",NA
"CHOL","90%","SBS8","genome",NA
"CHOL","95%","SBS8","genome",NA
"CHOL","5%","SBS8","exome",NA
"CHOL","10%","SBS8","exome",NA
"CHOL","15%","SBS8","exome",NA
"CHOL","20%","SBS8","exome",NA
"CHOL","25%","SBS8","exome",NA
"CHOL","30%","SBS8","exome",NA
"CHOL","35%","SBS8","exome",NA
"CHOL","40%","SBS8","exome",NA
"CHOL","45%","SBS8","exome",NA
"CHOL","50%","SBS8","exome",NA
"CHOL","55%","SBS8","exome",NA
"CHOL","60%","SBS8","exome",NA
"CHOL","65%","SBS8","exome",NA
"CHOL","70%","SBS8","exome",NA
"CHOL","75%","SBS8","exome",NA
"CHOL","80%","SBS8","exome",NA
"CHOL","85%","SBS8","exome",NA
"CHOL","90%","SBS8","exome",NA
"CHOL","95%","SBS8","exome",NA
"CHOL","5%","SBS9","genome",33.44
"CHOL","10%","SBS9","genome",33.44
"CHOL","15%","SBS9","genome",33.44
"CHOL","20%","SBS9","genome",33.44
"CHOL","25%","SBS9","genome",33.44
"CHOL","30%","SBS9","genome",33.44
"CHOL","35%","SBS9","genome",33.44
"CHOL","40%","SBS9","genome",33.44
"CHOL","45%","SBS9","genome",33.44
"CHOL","50%","SBS9","genome",33.44
"CHOL","55%","SBS9","genome",33.44
"CHOL","60%","SBS9","genome",33.44
"CHOL","65%","SBS9","genome",33.44
"CHOL","70%","SBS9","genome",33.44
"CHOL","75%","SBS9","genome",33.44
"CHOL","80%","SBS9","genome",33.44
"CHOL","85%","SBS9","genome",33.44
"CHOL","90%","SBS9","genome",33.44
"CHOL","95%","SBS9","genome",33.44
"CHOL","5%","SBS9","exome",3.4
"CHOL","10%","SBS9","exome",3.4
"CHOL","15%","SBS9","exome",3.4
"CHOL","20%","SBS9","exome",3.4
"CHOL","25%","SBS9","exome",3.4
"CHOL","30%","SBS9","exome",3.4
"CHOL","35%","SBS9","exome",3.4
"CHOL","40%","SBS9","exome",3.4
"CHOL","45%","SBS9","exome",3.4
"CHOL","50%","SBS9","exome",3.4
"CHOL","55%","SBS9","exome",3.4
"CHOL","60%","SBS9","exome",3.4
"CHOL","65%","SBS9","exome",3.4
"CHOL","70%","SBS9","exome",3.4
"CHOL","75%","SBS9","exome",3.4
"CHOL","80%","SBS9","exome",3.4
"CHOL","85%","SBS9","exome",3.4
"CHOL","90%","SBS9","exome",3.4
"CHOL","95%","SBS9","exome",3.4
"CHOL","5%","SBS10a","genome",NA
"CHOL","10%","SBS10a","genome",NA
"CHOL","15%","SBS10a","genome",NA
"CHOL","20%","SBS10a","genome",NA
"CHOL","25%","SBS10a","genome",NA
"CHOL","30%","SBS10a","genome",NA
"CHOL","35%","SBS10a","genome",NA
"CHOL","40%","SBS10a","genome",NA
"CHOL","45%","SBS10a","genome",NA
"CHOL","50%","SBS10a","genome",NA
"CHOL","55%","SBS10a","genome",NA
"CHOL","60%","SBS10a","genome",NA
"CHOL","65%","SBS10a","genome",NA
"CHOL","70%","SBS10a","genome",NA
"CHOL","75%","SBS10a","genome",NA
"CHOL","80%","SBS10a","genome",NA
"CHOL","85%","SBS10a","genome",NA
"CHOL","90%","SBS10a","genome",NA
"CHOL","95%","SBS10a","genome",NA
"CHOL","5%","SBS10a","exome",16.56
"CHOL","10%","SBS10a","exome",16.56
"CHOL","15%","SBS10a","exome",16.56
"CHOL","20%","SBS10a","exome",16.56
"CHOL","25%","SBS10a","exome",16.56
"CHOL","30%","SBS10a","exome",16.56
"CHOL","35%","SBS10a","exome",16.56
"CHOL","40%","SBS10a","exome",16.56
"CHOL","45%","SBS10a","exome",16.56
"CHOL","50%","SBS10a","exome",16.56
"CHOL","55%","SBS10a","exome",16.56
"CHOL","60%","SBS10a","exome",16.56
"CHOL","65%","SBS10a","exome",16.56
"CHOL","70%","SBS10a","exome",16.56
"CHOL","75%","SBS10a","exome",16.56
"CHOL","80%","SBS10a","exome",16.56
"CHOL","85%","SBS10a","exome",16.56
"CHOL","90%","SBS10a","exome",16.56
"CHOL","95%","SBS10a","exome",16.56
"CHOL","5%","SBS10b","genome",NA
"CHOL","10%","SBS10b","genome",NA
"CHOL","15%","SBS10b","genome",NA
"CHOL","20%","SBS10b","genome",NA
"CHOL","25%","SBS10b","genome",NA
"CHOL","30%","SBS10b","genome",NA
"CHOL","35%","SBS10b","genome",NA
"CHOL","40%","SBS10b","genome",NA
"CHOL","45%","SBS10b","genome",NA
"CHOL","50%","SBS10b","genome",NA
"CHOL","55%","SBS10b","genome",NA
"CHOL","60%","SBS10b","genome",NA
"CHOL","65%","SBS10b","genome",NA
"CHOL","70%","SBS10b","genome",NA
"CHOL","75%","SBS10b","genome",NA
"CHOL","80%","SBS10b","genome",NA
"CHOL","85%","SBS10b","genome",NA
"CHOL","90%","SBS10b","genome",NA
"CHOL","95%","SBS10b","genome",NA
"CHOL","5%","SBS10b","exome",1.005
"CHOL","10%","SBS10b","exome",1.77
"CHOL","15%","SBS10b","exome",2.535
"CHOL","20%","SBS10b","exome",3.3
"CHOL","25%","SBS10b","exome",4.065
"CHOL","30%","SBS10b","exome",4.83
"CHOL","35%","SBS10b","exome",5.595
"CHOL","40%","SBS10b","exome",6.36
"CHOL","45%","SBS10b","exome",7.125
"CHOL","50%","SBS10b","exome",7.89
"CHOL","55%","SBS10b","exome",8.655
"CHOL","60%","SBS10b","exome",9.42
"CHOL","65%","SBS10b","exome",10.185
"CHOL","70%","SBS10b","exome",10.95
"CHOL","75%","SBS10b","exome",11.715
"CHOL","80%","SBS10b","exome",12.48
"CHOL","85%","SBS10b","exome",13.245
"CHOL","90%","SBS10b","exome",14.01
"CHOL","95%","SBS10b","exome",14.775
"CHOL","5%","SBS11","genome",NA
"CHOL","10%","SBS11","genome",NA
"CHOL","15%","SBS11","genome",NA
"CHOL","20%","SBS11","genome",NA
"CHOL","25%","SBS11","genome",NA
"CHOL","30%","SBS11","genome",NA
"CHOL","35%","SBS11","genome",NA
"CHOL","40%","SBS11","genome",NA
"CHOL","45%","SBS11","genome",NA
"CHOL","50%","SBS11","genome",NA
"CHOL","55%","SBS11","genome",NA
"CHOL","60%","SBS11","genome",NA
"CHOL","65%","SBS11","genome",NA
"CHOL","70%","SBS11","genome",NA
"CHOL","75%","SBS11","genome",NA
"CHOL","80%","SBS11","genome",NA
"CHOL","85%","SBS11","genome",NA
"CHOL","90%","SBS11","genome",NA
"CHOL","95%","SBS11","genome",NA
"CHOL","5%","SBS11","exome",NA
"CHOL","10%","SBS11","exome",NA
"CHOL","15%","SBS11","exome",NA
"CHOL","20%","SBS11","exome",NA
"CHOL","25%","SBS11","exome",NA
"CHOL","30%","SBS11","exome",NA
"CHOL","35%","SBS11","exome",NA
"CHOL","40%","SBS11","exome",NA
"CHOL","45%","SBS11","exome",NA
"CHOL","50%","SBS11","exome",NA
"CHOL","55%","SBS11","exome",NA
"CHOL","60%","SBS11","exome",NA
"CHOL","65%","SBS11","exome",NA
"CHOL","70%","SBS11","exome",NA
"CHOL","75%","SBS11","exome",NA
"CHOL","80%","SBS11","exome",NA
"CHOL","85%","SBS11","exome",NA
"CHOL","90%","SBS11","exome",NA
"CHOL","95%","SBS11","exome",NA
"CHOL","5%","SBS12","genome",16.262
"CHOL","10%","SBS12","genome",20.504
"CHOL","15%","SBS12","genome",24.746
"CHOL","20%","SBS12","genome",26.712
"CHOL","25%","SBS12","genome",27.54
"CHOL","30%","SBS12","genome",28.368
"CHOL","35%","SBS12","genome",29.964
"CHOL","40%","SBS12","genome",33.096
"CHOL","45%","SBS12","genome",36.228
"CHOL","50%","SBS12","genome",39.36
"CHOL","55%","SBS12","genome",39.942
"CHOL","60%","SBS12","genome",40.524
"CHOL","65%","SBS12","genome",41.106
"CHOL","70%","SBS12","genome",51.14
"CHOL","75%","SBS12","genome",65.9
"CHOL","80%","SBS12","genome",80.66
"CHOL","85%","SBS12","genome",92.98
"CHOL","90%","SBS12","genome",100.42
"CHOL","95%","SBS12","genome",107.86
"CHOL","5%","SBS12","exome",NA
"CHOL","10%","SBS12","exome",NA
"CHOL","15%","SBS12","exome",NA
"CHOL","20%","SBS12","exome",NA
"CHOL","25%","SBS12","exome",NA
"CHOL","30%","SBS12","exome",NA
"CHOL","35%","SBS12","exome",NA
"CHOL","40%","SBS12","exome",NA
"CHOL","45%","SBS12","exome",NA
"CHOL","50%","SBS12","exome",NA
"CHOL","55%","SBS12","exome",NA
"CHOL","60%","SBS12","exome",NA
"CHOL","65%","SBS12","exome",NA
"CHOL","70%","SBS12","exome",NA
"CHOL","75%","SBS12","exome",NA
"CHOL","80%","SBS12","exome",NA
"CHOL","85%","SBS12","exome",NA
"CHOL","90%","SBS12","exome",NA
"CHOL","95%","SBS12","exome",NA
"CHOL","5%","SBS13","genome",0.232
"CHOL","10%","SBS13","genome",0.272
"CHOL","15%","SBS13","genome",0.348
"CHOL","20%","SBS13","genome",0.604
"CHOL","25%","SBS13","genome",1.16
"CHOL","30%","SBS13","genome",1.46
"CHOL","35%","SBS13","genome",1.54
"CHOL","40%","SBS13","genome",1.584
"CHOL","45%","SBS13","genome",2.668
"CHOL","50%","SBS13","genome",4.18
"CHOL","55%","SBS13","genome",4.468
"CHOL","60%","SBS13","genome",5.216
"CHOL","65%","SBS13","genome",6.56800000000001
"CHOL","70%","SBS13","genome",7.72
"CHOL","75%","SBS13","genome",8.38
"CHOL","80%","SBS13","genome",9.456
"CHOL","85%","SBS13","genome",11.928
"CHOL","90%","SBS13","genome",18.952
"CHOL","95%","SBS13","genome",23.94
"CHOL","5%","SBS13","exome",0.26
"CHOL","10%","SBS13","exome",0.26
"CHOL","15%","SBS13","exome",0.303
"CHOL","20%","SBS13","exome",0.324
"CHOL","25%","SBS13","exome",0.35
"CHOL","30%","SBS13","exome",0.38
"CHOL","35%","SBS13","exome",0.427
"CHOL","40%","SBS13","exome",0.468
"CHOL","45%","SBS13","exome",0.525
"CHOL","50%","SBS13","exome",0.62
"CHOL","55%","SBS13","exome",0.757
"CHOL","60%","SBS13","exome",0.844
"CHOL","65%","SBS13","exome",0.966
"CHOL","70%","SBS13","exome",1.076
"CHOL","75%","SBS13","exome",1.195
"CHOL","80%","SBS13","exome",1.232
"CHOL","85%","SBS13","exome",1.494
"CHOL","90%","SBS13","exome",2.19
"CHOL","95%","SBS13","exome",2.715
"CHOL","5%","SBS14","genome",NA
"CHOL","10%","SBS14","genome",NA
"CHOL","15%","SBS14","genome",NA
"CHOL","20%","SBS14","genome",NA
"CHOL","25%","SBS14","genome",NA
"CHOL","30%","SBS14","genome",NA
"CHOL","35%","SBS14","genome",NA
"CHOL","40%","SBS14","genome",NA
"CHOL","45%","SBS14","genome",NA
"CHOL","50%","SBS14","genome",NA
"CHOL","55%","SBS14","genome",NA
"CHOL","60%","SBS14","genome",NA
"CHOL","65%","SBS14","genome",NA
"CHOL","70%","SBS14","genome",NA
"CHOL","75%","SBS14","genome",NA
"CHOL","80%","SBS14","genome",NA
"CHOL","85%","SBS14","genome",NA
"CHOL","90%","SBS14","genome",NA
"CHOL","95%","SBS14","genome",NA
"CHOL","5%","SBS14","exome",NA
"CHOL","10%","SBS14","exome",NA
"CHOL","15%","SBS14","exome",NA
"CHOL","20%","SBS14","exome",NA
